,HH_ID,HHNbr,MWrkHrs,MEdu,FWrkHrs,FEdu,FBirth,F_Rel,MBirth,YogExp,DinExp,ResType_2,ResType_3,ResType_4,ResType_5,ResType_6,ResStatus_2,ResStatus_3,HHInc_2,HHInc_3,HHInc_4,HHInc_5,HHInc_6,HHInc_7,HHInc_8,HHInc_9,HHInc_10,HHInc_11,HHInc_12,HHInc_13,HHInc_14,M_Rel_2,Cable_1,Cats_1,Dogs_1,FAge,MAge
99,1102905,6,44,6,60,5,1949,1,1952,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,40,37
100,1102921,2,40,7,0,0,0,0,1959,0.0,0.0,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,1989,30
101,1102947,1,0,0,40,7,1952,1,0,5.28,0.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,37,1989
102,1102988,3,45,6,40,7,1956,1,1955,3.96,3.57,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,33,34
103,1102996,2,40,8,30,9,1957,1,1955,54.4,114.84,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,32,34
104,1103010,3,40,7,0,0,0,0,1957,83.4400000000001,202.95,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,1989,32
105,1103028,1,0,0,40,5,1926,1,0,1.0,2.74,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,63,1989
106,1103051,2,0,0,40,7,1950,1,0,16.82,20.55,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,39,1989
107,1103101,4,40,8,37,5,1958,1,1957,9.2,26.58,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,31,32
108,1103259,3,45,7,40,7,1962,1,1962,71.3799999999999,170.24,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,27,27
109,1103283,3,0,3,0,5,1927,1,1913,0.29,0.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,62,76
110,1103309,3,0,0,20,5,1953,1,0,12.41,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,36,1989
111,1103341,2,60,9,20,7,1928,1,1927,1.83,7.32,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,61,62
112,1103390,2,0,8,0,8,1907,1,1907,14.76,0.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,82,82
113,1103408,4,40,5,40,10,1929,1,1925,137.49,263.9,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,60,64
114,1103473,5,40,5,0,8,1938,1,1939,9.3,20.71,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,51,50
115,1103481,2,0,0,40,5,1935,1,0,22.08,119.13,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,54,1989
116,1103499,5,35,10,20,9,1951,1,1945,137.69,382.459999999999,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,38,44
117,1103515,2,0,0,40,5,1940,1,0,3.78,0.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,49,1989
118,1103531,1,0,0,43,8,1946,1,0,0.0,2.74,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,43,1989
119,1103564,2,0,0,40,5,1957,1,0,73.08,0.0,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,32,1989
120,1103614,2,0,5,20,7,1924,1,1922,19.46,0.0,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,65,67
121,1103648,2,45,6,35,8,1941,1,1938,9.15,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,48,51
122,1103671,5,40,8,0,9,1956,1,1956,5.44,0.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,33,33
123,1103705,6,40,10,44,10,1957,1,1955,580.6,711.949999999995,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,32,34
124,1103739,1,0,0,50,4,1945,1,0,2.04,4.11,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,44,1989
125,1103747,3,40,3,20,3,1960,1,1958,0.0,0.0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,29,31
126,1103754,2,0,9,0,5,1929,1,1925,13.89,31.9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,60,64
